	Placename@tr	Placename@ott	Placename_2@tr	Placename_3@tr	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Wikidata_url	Admin_unit_1	Admin_unit_1_year	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Admin_unit_2	Admin_unit_2_year	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_year	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_year	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_year	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_year	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_year	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_year	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_year	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_year	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_year	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_year	Belongs_to_14	wikidata_json	lat	lon
159	AKÖREN	آق ويران	Akviran						Nahiye	1926				Çumra	Konya	Kaza	~1990					Konya																																																									
160	AKÖREN	آق ويران	Akviran						Nahiye	1865			Merkez	Amasya	Sivas vilâyeti	Köy				Merkez	Suluova	Amasya																																																									
161	AKÖREN	آق ويران	Akviran						Nahiye				Aziziye	Sivas	Sivas vilâyeti	Köy				Kaynar	Pınarbaşı	Kayseri																																																									
162	AKÖREN	آق ويران	Akviran						Nahiye merkezi				Mollafeneri	Gebze	Kocaeli																																																																
163	AKOVA	آق اووه	Bjelopolje						Kaza	1580				Yenipazar	Bosna eyâleti	Kaza	1877				Yenipazar	Kosova vilâyeti	Kaza	1913				Karadağ C.	Yugoslavya																																																		
164	AKPALANKA	آق پلانقه	Arzerpalanka						Kasaba	1864			Merkez	Vidin	Tuna vilâyeti	Kasaba						Romanya																																																									
165	AKPAZAR	آق بازار	Çarsancak	Peri					Kaza	1846					Diyarbakır eyâleti	Kaza	1855				Harput	Diyarbakır eyâleti	Kaza	1877				Dersim	Mamûretülaziz vilâyeti	Nahiye	1926			Mazgirt	Elâzığ	Nahiye	1935	Sancak iken merkezi “Pertek” idi. Şimdiki merkezine kaza olunca taşındı.)		Mazgirt	Tunceli																																						
166	AKPINAR	آق پيگار	Hanakpınar						Nahiye					Merkez	Diyarbakır	Kaza	1937					Diyarbakır																																																									
167	AKPINAR	آق پيگار							Nahiye					Kaman	Kırşehir	Kaza	~1990					Kırşehir																																																									
168	AKPINAR	آق پيگار	Bel-izvar						Nahiye	1865			Eğridere	Gümülcine	Edirne vilâyeti	Nahiye	1919			Eğridere	Gümülcine	Yunanistan																																																									
169	AKPINAR	آق پيگار	Kuşkayası						Nahiye					Kangal	Sivas																																																																
170	AKPINAR	آق پيگار							Nahiye					Merkez	Adıyaman																																																																
171	AKRA	عقره							Kaza					Musul	Bağdad vilâyeti	Kaza					Musul	Irak																																																									
172	AKRKOF	عقرقوف							Kaza					Bağdad	Bağdad maa Şehrizor eyâleti																																																																
173	AKSAKAL	آق صقال							Nahiye	1957				Bandırma	Balıkesir																																																																
174	AKŞAR	آقشار							Nahiye	1865			Suşehri	Karahisar-ı Şarkî	Sivas vilâyeti	Köy				Merkez	Suşehri	Sivas																																																									
175	AKŞAR	آقشار	Kosor						Nahiye					Oltu	Erzurum	Nahiye	1946				Şenkaya	Erzurum																																																									
176	AKŞAR	آقشار	Hakif	Şiriz					Nahiye	1878			Hizan	Bitlis	Bitlis vilâyeti	Nahiye	1935				Hizan	Bitlis																																																									
177	AKSARAY	آق سرای							Sancak	1525					Karaman eyâleti	Kaza	1865				Niğde	Konya vilâyeti	Müstakil sancak						Aksaray sancağı	Vilâyet	1924				Aksaray	Kaza	1933				Niğde	Vilâyet	1989			Aksaray																																	
178	AKSAZ	آقساز							Nahiye	16. yy.			Merkez	Alâiye	Anadolu eyâleti	Köy				Merkez	Manavgat	Antalya																																																									
179	AKSAZ	آقساز							Nahiye	16. yy.			Anamur	İçil	Karaman eyâleti																																																																
180	AKŞEHİR	آقشهر							Sancak	1381					Anadolu eyâleti	Sancak	1402					Karaman eyâleti	Kaza	1864				Konya	Konya vilâyeti	Kaza	1924				Konya																																												
181	AKŞEHİRÂBÂD	آقشهر آباد							Nahiye		Suşehri ovası olmalıdır.		Merkez	Karahisar-ı Şarkî	Rum eyâleti																																																																
182	AKSEKİ	آقسکی	Nevahi-i Alâiye	Marulya					Nahiye	16. yy.			Merkez	Alâiye	Anadolu eyâleti	Kaza	~1846				Alâiye	Karaman	Kaza	1868				Teke	Konya vilâyeti	Kaza	1924				Antalya																																												
183	AKSU	آقصو	Anamas						Nahiye				Eğirdir	Hamid	Anadolu eyâleti	Nahiye	1924				Eğirdir	Isparta	Kaza	~1990					Isparta																																																		
184	AKSU	آقصو	Macun						Nahiye					Merkez	Antalya																																																																
185	AKSU	آقصو						https://www.wikidata.org/wiki/Q421648	Şehir						Doğu Türkistan																																																														https://www.wikidata.org/wiki/Special:EntityData/Q421648.json	41.166389	80.25
186	AKTAŞ	آقطاش	Zobran						Kaza	1841				Viranşehir	Kastamonu eyâleti	Nahiye	1924			Safranbolu	Kastamonu	Kastamonu vilâyeti	Nahiye		Merkezi olan Zobran dahil tüm köyleri Karabük Merkez bucağında. Aktaş nahiyesi lağvedilerek Bu bölgede “Karabük” kurulmuştur.			Safranbolu	Zonguldak																																																		
187	AKTEPE	آق تپه							Nahiye merkezi				Sarısu	Patnos	Ağrı																																																																
188	AKTUZLA	آقطوزله							Nahiye					Malazgirt	Muş																																																																
189	AKYAKA	آقيقا	Şuragel	Kızılçakçak					Kaza					Kars	Erzurum eyâleti	Nahiye	1926				Arpaçay	Kars	Kaza	~1990					Kars																																																		
190	AKYAZI	آقيازی							Kaza					Hudavendigâr	Anadolu eyâleti	Nahiye	1878			Hendek	İzmit	Şehremâneti	Kaza	1944					Kocaeli	Kaza	1954				Sakarya																																												
191	AKYURT	آقيورد	Ravlı						Nahiye					Çubuk	Ankara	Kaza	~1990					Ankara																																																									
192	AKZİYARET	آق زيارت	Cülmen						Nahiye					Merkez	Şanlıurfa																																																																
193	ALÂ	علا							Nahiye	1865			Merkez	Hama	Suriye vilâyeti																																																																
194	ALÂ	علا							Nahiye	1875			El-Vech	Medine	Hicaz vilâyeti																																																																
195	ALACA	آلاجه	Hüseyin.b.d						Nahiye				Zile	Sivas-Tokat	Rum eyâleti	Kaza	1846				Bozok	Bozok eyâleti	Nahiye	1867			Merkez	Çorum	Ankara vilâyeti	Kaza	1919				Çorum																																												
196	ALACAHACI	آلاجه حاجی							Nahiye	1865			Koçkiri	Sivas	Sivas vilâyeti	Köy				Karacaören	İmranlı	Sivas																																																									
197	ALACAHAN	آلاجه خان							Nahiye	1865			Merkez	Sivas	Sivas vilâyeti	Nahiye	1924				Kangal	Sivas																																																									
198	ALACAHİSAR	آلاجه حصار	Kruşevac						Sancak	1458					Rumeli eyâleti	Sancak	1588					Bosna eyâleti	Sancak						Rumeli eyâleti	Sancak	1812				Sırp eyâleti	Sancak	1833				Osmanlı’dan çıkış																																						
199	ALACAKAYA	آلاجه قيا	Guleman						Köy				Merkez	Maden	Elâzığ	Kaza	1990					Elâzığ																																																									
200	ALACALI	آلاجه لی	Yeşilvadi						Nahiye	1926				Şile	İstanbul																																																																
201	ALAÇAM	آلاچام							Nahiye	1868				Bafra	Trabzon vilâyeti	Kaza	1944					Samsun																																																									
202	ALAÇAM	آلاچام							Nahiye				Bafra	Canik	Rum eyâleti																																																																
203	ALAÇAM maa HİSARCIK	آلاچام مع حصارجق							Kaza	1846				Canik	Trabzon eyâleti																																																																
204	ALAÇATI	آلاچاطی							Nahiye	1867			Çeşme	İzmir	Aydın vilâyeti	Nahiye	1924				Çeşme	İzmir																																																									
205	ALADAĞ	آلاطاغ							Kaza	16. yy.				Lârende	Karaman eyâleti	Nahiye	1924			Karaman	Konya	Konya vilâyeti	Nahiye	1926				Hadım	Konya																																																		
206	ALADAĞ	آلاطاغ							Kaza		Karaisalı’nın Karsantı nahiyesinde kuruldu. Karsantı nahiyesinin devamı				Adana																																																																
207	Alagöz	آلاکوز	BAYAT						Nahiye					İskilip	Çorum	Kaza	1958					Çorum																																																									
208	ALAHNAS	آلاحناس					Tirebolu bölgesinde idi.		Nahiye	~1530			Kürtün	Trabzon	Rum eyâleti																																																																
209	Alâiye	علاءيه	ALANYA						Sancak	1471					Anadolu eyâleti	Sancak	1538					Kaptanpaşa eyâleti	Sancak	1571					Kıbrıs eyâleti	Sancak	1608				Adana eyâleti	Sancak	1846				Karaman eyâleti	Kaza	1868		Teke	Konya vilâyeti	Kaza	1924			Antalya																												
210	Alakilise	آلاکليسا	AKARSU						Nahiye	1865			Refahiye	Erzincan	Erzurum vilâyeti	Nahiye	1924				Refahiye	Erzincan																																																									
211	ALAN VE SARAY-I MİRÂBÂD	آلان وسرای مير آباد							Kaza	1855				Süleymaniye	Bağdad maa Şehrizor eyâleti																																																																
212	ALANYA	آلانيه	Alâiye						Kaza	1868					Antalya																																																																
213	ALAPLI	آلاپلی	Yukarıdoğancılar						Kaza	1841				Bolu	Kastamonu eyâleti	Nahiye					Ereğli	Zonguldak	Kaza	~1990					Zonguldak																																																		
214	Alara	آلاره	ULUGÜNEY						Nahiye	1924			Merkez	Alâiye	Anadolu eyâleti	Köy				Merkez	Alanya	Antalya																																																									
215	ALAŞEHİR	آلا شهر	Filadelfiya						Kaza	~1530				Aydın	Anadolu eyâleti	Kaza	1867				Saruhan	Aydın vilâyeti	Kaza	1924					Manisa																																																		
216	ALASONYA	آلا صونيه	Elasson						Kaza	1889				Serfiçe	Manastır vilâyeti	Kaza	1913					Yunanistan																																																									
217	ALAVNE	آلاونه							Nahiye					Nevâhi-i Erbaa	Trablusgarb	Nahiye						Libya																																																									
218	Albak	آلباق	BAŞKALE					https://www.wikidata.org/wiki/Q812759	Kaza	1578				Hakkâri	Van eyâleti	Kaza	1845				Van maa Hakkârî	Erzurum eyâleti	Sancak merkezi	1910				Hakkâri	Van vilâyeti	Kaza	1924				Van																																										https://www.wikidata.org/wiki/Special:EntityData/Q812759.json	38.043131	44.018635
219	ALBARDO	آلباردو	Alberedo						Kasaba				Virane	Venedik	İtalya																																																																
220	ALBAYRAK	آلبايراق	Şikefti	Derköy					Nahiye	1888			Başkale	Hakkâri	Van vilâyeti	Nahiye	1924				Başkale	Van																																																									
221	ALEKSANDROPOL	آلکساندروپول							Kaza					Erivan	Ermenistan																																																																
222	ALEKSİNAÇ	آلکسيناچ	Alexinatz						Kaza				Niş	Sırbistan	Yugoslavya																																																																
223	ALELGARBİ	علی الغربی							Nahiye	1884			Merkez	Ammara	Basra vilâyeti																																																																
224	ALEŞŞARKÎ	علی الشرقی							Nahiye	1884			Merkez	Ammara	Basra vilâyeti																																																																
225	Alevî	علوی	HAKALA				Hakala nahiyesinin diğer adı olarak nahiye. Sonra lağvedilmiş, köyleri şimdi Suluova’ya bağlı. 1928’de Alevî k.yü var, şimdi yok.		Nahiye	1902			Merkez	Amasya	Sivas vilâyeti	Nahiye	1928				Merkez	Amasya																																																									
226	ALİAĞA	علی آغا							Nahiye					Menemen	İzmir	Kaza						İzmir																																																									
227	ALİBEY	علی بک	Cunda						Nahiye		Cunda, Ayvalık’ta kü.ük bir adadır. Nahiye lağvedildi.			Ayvalık	Balıkesir																																																																
228	ALICIK	آليجق							Nahiye	1865			Merzifon	Amasya	Sivas vilâyeti	Nahiye	1924				Merzifon	Amasya																																																									
229	ALİKAN	آليکان							Kaza				Hanya	Girit	Yunanistan																																																																
230	ALİKİ	عليکی							Nahiye		Sarıkaya ilçesi bölgesinde idi.		Bozok	Bozok	Zülkadriye eyâleti																																																																
231	ALİMANTAR	علی منطار							Nahiye merkezi				Elbeyli	Oğuzeli	Gaziantep																																																																
232	ALİNEK	آل اينک							Nahiye	1865			Erbaa	Tokat	Sivas vilâyeti	Köy				Karayaka	Erbaa	Tokat																																																									
233	ALİŞAR	عليشار							Nahiye	1867			Merkez	Karahisar-ı Şarkî	Sivas vilâyeti	Köy				Merkez	Şebinkarahisar	Giresun																																																									
234	ALİŞAR	عليشار							Nahiye				Zeytûn	Maraş	Halep vilâyeti	Köy				Merkez	Elbistan	Kahramanmaraş																																																									
235	ALMUS	آلموص	Büyük Almus				1772 kayıtlarına göre “Tozanlı” dan ayrı olarak “Gâvurni-Kâfirni adıyla anılmış, sonra nahiye olmuş.		Köy			Kâfirni	Tokat	Sivas-Tokat	Rum eyâleti	Nahiye	1865			Tokat	Sivas	Sivas vilâyeti	Nahiye	1924				Merkez	Tokat	Kaza	1954				Tokat																																												
236	ALOŞTA	آلوشته	Alouchta						Kasaba		Balıklova bölgesinde			Kırım	Rusya																																																																
237	ALPKÖY	آلپ کوی	Kamarik						Nahiye	1865			Kemah	Erzincan	Erzurum vilâyeti	Köy					Kemah	Erzincan																																																									
