Placename@tr	Duplicate?	ottgaz_id	Placename@ota	Placename_2@tr	Placename_2@ota	Placename_3@tr	Placename_3@ota	Placename_4@tr	Placename_5@tr	Placename_notes@tr	Place_type	Ott_or_not	Wikidata_url	Admin_unit_1	Admin_unit_1_start	Admin_unit_1_start_period	Admin_unit_1_stop	Admin_unit_1_note	Belongs_to_1-4	Belongs_to_1-3	Belongs_to_1-2	Belongs_to_1-1	Belongs_to_1-1_id	Admin_unit_2	Admin_unit_2_start	Admin_unit_2_start_period	Admin_unit_2_stop	Admin_unit_2_note	Belongs_to_2-4	Belongs_to_2-3	Belongs_to_2-2	Belongs_to_2-1	Admin_unit_3	Admin_unit_3_start	Admin_unit_3_start_period	Admin_unit_3_stop	Admin_unit_3_note	Belongs_to_3-4	Belongs_to_3-3	Belongs_to_3-2	Belongs_to_3-1	Admin_unit_4	Admin_unit_4_start	Admin_unit_4_start_period	Admin_unit_4_stop	Admin_unit_4_note	Belongs_to_4-3	Belongs_to_4-2	Belongs_to_4-1	Admin_unit_5	Admin_unit_5_start	Admin_unit_5_start_period	Admin_unit_5_stop	Admin_unit_5_note	Belongs_to_5-3	Belongs_to_5-2	Belongs_to_5-1	Admin_unit_6	Admin_unit_6_start	Admin_unit_6_start_period	Admin_unit_6_stop	Admin_unit_6_note	Belongs_to_6-2	Belongs_to_6-1	Admin_unit_7	Admin_unit_7_start	Admin_unit_7_start_period	Admin_unit_7_stop	Admin_unit_7_note	Belongs_to_7-2	Belongs_to_7-1	Admin_unit_8	Admin_unit_8_start	Admin_unit_8_start_period	Admin_unit_8_stop	Admin_unit_8_note	Belongs_to_8-2	Belongs_to_8-1	Admin_unit_9	Admin_unit_9_start	Admin_unit_9_start_period	Admin_unit_9_stop	Belongs_to_9-3	Belongs_to_9-2	Belongs_to_9-1	Admin_unit_10	Admin_unit_10_start	Admin_unit_10_start_period	Belongs_to_10-2	Belongs_to_10-1	Admin_unit_11	Admin_unit_11_start	Admin_unit_11_start_period	Belongs_to_11-2	Belongs_to_11-1	Admin_unit_12	Belongs_to_12	Admin_unit_13	Belongs_to_13	Admin_unit_14	Admin_unit_14_start	Belongs_to_14
Agonya		5026	آغونيه	HAMDİBEY		Koyuneli					http://www.geonames.org/ontology#A.ADMD			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1909			Balya	Biga	Anadolu eyâleti	101	Nahiye	1909	http://n2t.net/ark:/99152/p0pf2qb3rtq					Edremit	Karesi sancağı	Nahiye				Agonya nahiyesi lağvedilmiş, Mrk. olan Koyuneli köyü halen Yenice’nin Hamdibey bucağıdır.			Edremit	Balıkesir																																																													
AĞRI		15287	آغری	Karaköse							http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		Vilâyet	1938	Turkish Republic		~1925’te bu bölgede Bayazıt Vilâyeti kuruldu. Vilâyet merkezi 1927’de Karaköse’ye taşınınca Karaköse adını aldı. 1938’de adı Ağrı oldu.				Ağrı																																																																																
AĞRIBOZ		353	آغريبوز	Eğriboz		Eubee				Ege’de Girit’ten sonra ikinci büyük ada, 1821’de kaybedildi.	http://www.geonames.org/ontology#A.ADMD			Sancak	1470	http://n2t.net/ark:/99152/p0pf2qbcrrw	1533					Rumeli eyâleti	156	Sancak	1533	http://n2t.net/ark:/99152/p0pf2qb689b	1829					Kaptanpaşa eyâleti	Eyâlet	1829	http://n2t.net/ark:/99152/p0pf2qbzg6v						Yunanistan																																																													
Ağunsos		10025	آغنصوص	ÇAYIRÖZÜ							http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Bayburt	Erzurum	Erzurum vilâyeti	125	Köy							Merkez	Bayburt Gümüşhane	Köy						Merkez	Merkez	Bayburt																																																													
AĞUSTOS		20054	آغوستوس	Niyaoste							http://www.geonames.org/ontology#A.ADMD	Not		Nahiye						Karaferye	Selânik	Yunanistan																																																																																
AHALT		15004	آحلت								http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		Kaza merkezi	1950	Turkish Republic					Yusufeli	Artvin																																																																																
AHAT		5028	احد								http://www.geonames.org/ontology#A.ADMD			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1919			Sultaniye	Gümülcine	Edirne vilâyeti	122	Nahiye	1919	http://n2t.net/ark:/99152/p0pf2qbw2zt				Sultaniye	Gümülcine	Yunanistan																																																																						
AHEM		5029	عا هم								http://www.geonames.org/ontology#A.ADMD			Nahiye	1871	http://n2t.net/ark:/99152/p0pf2qbtdts				Hacur	Hudeyde	Yemen vilâyeti	181																																																																															
AHİÇELEBİ		5030	آخی چلبی	Smoljan		Paşmaklı					http://www.geonames.org/ontology#A.ADMD			Kaza	1877	http://n2t.net/ark:/99152/p0pf2qbx98x					Filibe	Edirne vilâyeti	122	Kaza			1919				Gümülcine	Edirne	Kaza	1919	http://n2t.net/ark:/99152/p0pf2qbw2zt						Yunanistan																																																													
AHILKALAK ve MAÇAHEL		1009	آخالقلاک وماچه خل								http://www.geonames.org/ontology#A.ADMD			Sancak	1578	http://n2t.net/ark:/99152/p0pf2qbb9h8						Çıldır eyâleti	119																																																																															
AHIRLI		5031	آخورلی								http://www.geonames.org/ontology#A.ADMD			Nahiye			1990				Bozkır	Konya		Kaza	1990	Turkish Republic						Konya																																																																						
AHISKA		534	آخسخه	Ahısha							http://www.geonames.org/ontology#P.PPLG		https://www.wikidata.org/wiki/Q212546	Eyâlet merkezi	1625	http://n2t.net/ark:/99152/p0pf2qbnnn2	1828					Çıldır eyâleti	119	Eyâlet merkezi	1828	http://n2t.net/ark:/99152/p0pf2qbzg6v						Rusya yönetimi	Şehir								Gürcistan yönetimi																																																													
AHLAT		1010	آخلاط								http://www.geonames.org/ontology#A.ADMD		https://www.wikidata.org/wiki/Q400362	Sancak			1800					Van eyâleti	175	Sancak merkezi	1800	http://n2t.net/ark:/99152/p0pf2qbt989	1846				Adilcevaz	Van eyâleti	Kaza	1846	http://n2t.net/ark:/99152/p0pf2qb8jmh	1855				Van	Van eyâleti	Kaza	1855	http://n2t.net/ark:/99152/p0pf2qb8jmh	1880			Muş	Erzurum eyâleti	Kaza	1880	http://n2t.net/ark:/99152/p0pf2qbx98x	1935			Bitlis	Bitlis vilâyeti	Kaza	1935	Turkish Republic				Bitlis																																						
AHMET SARAY		10026	احمدسرای								http://www.geonames.org/ontology#P.PPLG			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Lâdik	Amasya	Sivas vilâyeti	166	Köy						Merkez	Lâdik	Samsun																																																																						
AHMETBEY		10027	احمد بک								http://www.geonames.org/ontology#P.PPLG			Nahiye						Lüleburgaz	Kırkkilise	Edirne vilâyeti	122	Kasaba						Büyükkarıştıran	Lüleburgaz	Kırklareli																																																																						
AHMETLER		10028	احمدلر								http://www.geonames.org/ontology#P.PPLG			Nahiye merkezi						Kozcağız	Bartın	Zonguldak																																																																																
AHMETLİ		15289	احمدلی								http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		Nahiye			~1990				Turgutlu	Manisa		Kaza	~1990	Turkish Republic		Eski “Ilıca-i Saruhan” kazası bölgesinde kuruldu.)				Manisa																																																																						
AHMETLİ		5032	احمدلی	Güran		Pirahmet					http://www.geonames.org/ontology#A.ADMD			Nahiye							Ergani	Diyarbakır																																																																																
AHSA		354	احسا	Necd-i Şarkî		El-Hufûf					http://www.geonames.org/ontology#A.ADMD			Eyâlet			1871					Ahsa eyâleti		Sancak	1871	http://n2t.net/ark:/99152/p0pf2qbtdts	1874					Bağdad vilâyeti	Sancak	1874	http://n2t.net/ark:/99152/p0pf2qbtdts	1875					Necd vilâyeti	Sancak	1875	http://n2t.net/ark:/99152/p0pf2qbtdts	1880				Basra vilâyeti	Sancak	1880	http://n2t.net/ark:/99152/p0pf2qbx98x	1884				Bağdad vilâyeti	Sancak	1884	http://n2t.net/ark:/99152/p0pf2qbx98x				Basra vilâyeti																																						
AHSENDERE		5033	احسن دره								http://www.geonames.org/ontology#A.ADMD			Nahiye				Elbistan’ın güneybatısında ve Kabaktepe köyü civarında idi.		Maraş	Maraş	Zülkadriye eyâleti	183																																																																															
AHTAMAR		7791	آختمار											Ada				Ermeni ruhanî merkezlerinden biri olan Ahtamar manastırı bu adada				Van gölü																																																																																
AHTOPOL		5034	آخته پولی	Agoto-Polis		Vasiliko					http://www.geonames.org/ontology#A.ADMD			Kaza	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1913				Kırkkilise	Edirne		Kaza	1913	http://n2t.net/ark:/99152/p0pf2qb3rtq					Burgaz	Bulgaristan																																																																						
AHYOLU		5035	آخيولی	Poromorie							http://www.geonames.org/ontology#A.ADMD			Kaza							Burgaz	Bulgaristan																																																																																
Ahyolu Burgazı		1011	آخيولی بورغازی	BURGAZ							http://www.geonames.org/ontology#A.ADMD			Sancak	1878	http://n2t.net/ark:/99152/p0pf2qbx98x	1908					Rumeli-i Şarkî vilâyeti	156	Sancak	1908	http://n2t.net/ark:/99152/p0pf2qbx98x						Bulgaristan																																																																						
Akâbâd		5036	آق آباد	AKÇAOVA							http://www.geonames.org/ontology#A.ADMD			Kaza	~1845	http://n2t.net/ark:/99152/p0pf2qb8jmh	1878				Kocaeli	Hudavendigâr eyâleti	133	Nahiye	1878	http://n2t.net/ark:/99152/p0pf2qbx98x	1924			Kandıra	İzmit	Şehremâneti	Nahiye	1924	Turkish Republic					Kandıra	Kocaeli																																																													
AKABE		5037	عقبه	Kal‘atü‘l-Akabe		Akabetü‘l-Eyle					http://www.geonames.org/ontology#A.ADMD			Nahiye			~1910			El-Vech	Medine	Hicaz vilâyeti	132	Kaza	~1910	http://n2t.net/ark:/99152/p0pf2qb3rtq						Hicaz vilâyeti	Kaza				Kızıldeniz kenarında antik “Eyle” kentine giriş boğazında olduğu için “Akabe-i Eyle” denildi sonra yalnız “Akabe” s.zü kullanıldı.				Ürdün																																																													
AKARSU		5038	آقارصو	Alakilise	آلاکليسا						http://www.geonames.org/ontology#A.ADMD			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1924			Refahiye	Erzincan	Erzurum vilâyeti	125	Nahiye	1924	Turkish Republic					Refahiye	Erzincan																																																																						
AKARSU		5039	آقارصو	İstilil							http://www.geonames.org/ontology#A.ADMD			Nahiye							Nusaybin	Mardin																																																																																
AKÇAÂBÂD		10029	آقچه آباد	Polathane							http://www.geonames.org/ontology#P.PPLG			Nahiye						Merkez	Trabzon	Rum eyâleti	155	Kaza			1924				Trabzon	Trabzon eyâleti	Kaza	1924	Turkish Republic						Trabzon																																																													
AKÇADAĞ		10030	آقچه طاغ	Arga							http://www.geonames.org/ontology#P.PPLG			Nahiye			1834			Merkez	Malatya	Mamûretülaziz		Kaza	1834	http://n2t.net/ark:/99152/p0pf2qbzg6v	1855					Harput eyâleti	Kaza	1855	http://n2t.net/ark:/99152/p0pf2qb8jmh	1877					Diyarbakır eyâleti	Kaza	1877	http://n2t.net/ark:/99152/p0pf2qbx98x	1924				Mamûretülaziz vilâyeti	Kaza	1924	Turkish Republic					Malatya																																													
AKÇAHİSAR		5041	آقچه حصار	Krupa							http://www.geonames.org/ontology#A.ADMD			Kaza	1881	http://n2t.net/ark:/99152/p0pf2qbx98x					İşkodra	İşkodra vilâyeti	135	Kaza							Dıraç	İşkodra vilâyeti																																																																						
AKÇAHİSAR		5042	آقچه حصار								http://www.geonames.org/ontology#A.ADMD			Nahiye				Şimdiki yeri tesbit edilemedi. Manavgat’ın “Hisar” mahallesi var.		Manavgat	Alâiye	Anadolu eyâleti	101																																																																															
AKÇAKALE		1012	آقچه قلعه								http://www.geonames.org/ontology#P.PPLG			Sancak	1520	http://n2t.net/ark:/99152/p0pf2qb689b						Diyarbakır eyâleti	121	Köy						Merkez	Ergani	Diyarbakır																																																																						
AKÇAKALE		5043	آقچه قلعه								http://www.geonames.org/ontology#A.ADMD			Nahiye							Hısn-ı keyf ve Siird	Diyarbakır																																																																																
AKÇAKALE		7792	آقچه قلعه							Harran bölgesinde kuruldu. Harran da nahiye olarak bu kazaya bağlandı.				Köy			1946			Merkez	Harran	Urfa		Kaza	1946	Turkish Republic						Şanlıurfa																																																																						
AKÇAKENT		15290	آقچه کند								http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		Nahiye			~1990				Çiçekdağı	Kırşehir		Kaza	~1990	Turkish Republic						Kırşehir																																																																						
AKÇAKIŞLA		5044	آقچه قشله	Ağcakışla							http://www.geonames.org/ontology#A.ADMD			Nahiye							Şarkışla	Sivas																																																																																
AKÇAKOCA		5045	آقچه قوجه	Akçaşehir							http://www.geonames.org/ontology#A.ADMD			Nahiye	1870	http://n2t.net/ark:/99152/p0pf2qbtdts	1933				Düzce	Bolu		Kaza	1934	Turkish Republic	1999					Bolu	Kaza	1999	Turkish Republic						Düzce																																																													
AKÇAKOYUNLU		10031	آقچه قويونلی	Haral							http://www.geonames.org/ontology#P.PPLG			Nahiye						Ayıntab	Halep	Halep vilâyeti	129	Köy						Doğanpınar	Oğuzeli	Gaziantep																																																																						
AKÇAN		10032	آقچان	Mercimekkale		Sakavî					http://www.geonames.org/ontology#P.PPLG			Nahiye			1924			Merkez	Muş	Bitlis		Nahiye	1924	Turkish Republic					Merkez	Muş																																																																						
AKÇAOVA		5046	آقچه اووه	Akçaâbâd	آقچه آباد						http://www.geonames.org/ontology#A.ADMD			Nahiye	~1530	http://n2t.net/ark:/99152/p0pf2qb689b	1924			Ayasuluğ	Aydın	Anadolu eyâleti	101	Nahiye	1924	Turkish Republic					Çine	Aydın																																																																						
AKÇAPINAR		5048	آقچه پيگار	Vaskovan							http://www.geonames.org/ontology#A.ADMD			Nahiye	1777	http://n2t.net/ark:/99152/p0pf2qbv3ff	1926			Çemişgezek	Dersim	Mamûretülaziz		Nahiye	1926	Turkish Republic	1935				Çemişgezek	Elâzığ	Nahiye	1935	Turkish Republic					Çemişgezek	Tunceli																																																													
Akçaşehir		501	آقچه شهر	SÖKE	سوکه						http://www.geonames.org/ontology#P.PPLG		https://www.wikidata.org/wiki/Q1012854	Sancak merkezi	17. yy.	http://n2t.net/ark:/99152/p0pf2qbk5vq	1841				Sığla	Kaptanpaşa eyâleti	137	Kaza	1841	http://n2t.net/ark:/99152/p0pf2qb8jmh	1867				Sığla	Aydın eyâleti	Kaza	1867	http://n2t.net/ark:/99152/p0pf2qbtdts	1924	another version gives year as 1868, belonging to Aydın			Sığla	Aydın vilâyeti	Kaza	1924	Turkish Republic					Aydın																																																					
Akçaşehir		5049	آقچه شهر	AKÇAKOCA							http://www.geonames.org/ontology#A.ADMD			Kaza	1841	http://n2t.net/ark:/99152/p0pf2qb8jmh	1865				Bolu	Kastamonu eyâleti	141	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1933			Düzce	Bolu	Kastamonu vilâyeti	Nahiye	1933	Turkish Republic	1934				Düzce	Bolu	Kaza	1934	Turkish Republic	1999				Bolu	Kaza	1999	Turkish Republic					Düzce																																													
AKÇAŞEHİR		10033	آقچه شهر								http://www.geonames.org/ontology#P.PPLG			Kasaba						Merkez	Karaman	Konya		Kasaba				Eyâlet döneminde Eskiil ve Hatinderbendi ile ü.ü bir kaza oluşturmuştur.			Merkez	Karaman																																																																						
AKÇASIR		5050	آقچه سير	Aygün							http://www.geonames.org/ontology#A.ADMD			Nahiye							Kulp	Diyarbakır																																																																																
AKÇAY		15291	آقچای	Kaşçiftliği							http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		Nahiye	1958	Turkish Republic					Elmalı	Antalya																																																																																
AKÇAY		7793	آقچای											Köy						Merkez	Terme	Samsun																																																																																
AKÇAY maa TERME		5051	آقچای مع ترمه								http://www.geonames.org/ontology#A.ADMD			Kaza	1585	http://n2t.net/ark:/99152/p0pf2qbb9h8					Canik	Trabzon eyâleti	171																																																																															
AKDAĞ		10034	آقطاغ	Zana=Çiğdemlik							http://www.geonames.org/ontology#P.PPLG			Nahiye			1924			Merkez	Amasya	Rum eyâleti	155	Nahiye	1924	Turkish Republic					Merkez	Amasya																																																																						
Akdağ		5052	آقطاغ	Çayırşeyhi		ÇAYIRALAN					http://www.geonames.org/ontology#A.ADMD			Nahiye	16. yy.	http://n2t.net/ark:/99152/p0pf2qb689b	1872			Bozok	Bozok	Zülkadriye eyâleti	183	Nahiye	1872	http://n2t.net/ark:/99152/p0pf2qbtdts	1924			Boğazlıyan	Yozgat	Ankara vilâyeti	Nahiye	1924	Turkish Republic	1948				Boğazlıyan	Yozgat	Kaza	1948	Turkish Republic					Yozgat																																																					
AKDAĞMADENİ		5053	آقطاغ معدنی								http://www.geonames.org/ontology#A.ADMD			Nahiye	1830	http://n2t.net/ark:/99152/p0pf2qbzg6v	1860				Bozok	Sivas eyâleti	166	Kaza	1860	http://n2t.net/ark:/99152/p0pf2qb8jmh	1872				Bozok	Bozok eyâleti	Kaza	1872	http://n2t.net/ark:/99152/p0pf2qbtdts	1924				Yozgat	Ankara vilâyeti	Kaza	1924	Turkish Republic					Yozgat																																																					
AKDEMİR Şavak		5054	آقدمير	Abşeker							http://www.geonames.org/ontology#A.ADMD			Nahiye	1877	http://n2t.net/ark:/99152/p0pf2qbx98x	1924			Pertek	Dersim	Mamûretülaziz vilâyeti	147	Nahiye	1924	Turkish Republic	1935				Pertek	Elâzığ	Nahiye	1935	Turkish Republic					Pertek	Tunceli																																																													
AKFAS		7794	اقفاص											Kasaba								Mısır eyâleti	149																																																																															
Akgevir		10035	آقگوير	AKSU							http://www.geonames.org/ontology#P.PPLG			Nahiye						Merkez	Diyarbakır	Diyarbakır		Köy						Merkez	Mazıdağı	Mardin																																																																						
Akhisar		5055	آقحصار	PAMUKOVA							http://www.geonames.org/ontology#A.ADMD			Kaza			1878				Hudavendigâr	Anadolu eyâleti	101	Nahiye	1878	http://n2t.net/ark:/99152/p0pf2qbx98x	1954			Geyve	İzmit	Şehremâneti	Nahiye	1954	Turkish Republic	~1990				Geyve	Sakarya	Kaza	~1990	Turkish Republic					Sakarya																																																					
AKHİSAR		5056	آقحصار								http://www.geonames.org/ontology#A.ADMD			Kaza			1841				Saruhan	Anadolu eyâleti	101	Kaza	1841	http://n2t.net/ark:/99152/p0pf2qb8jmh	1924				Saruhan	Aydın eyâleti	Kaza	1924	Turkish Republic						Manisa																																																													
AKHİSAR		5057	آقحصار	Bogovina		İskovile=Vakıf					http://www.geonames.org/ontology#A.ADMD			Kaza	1866	http://n2t.net/ark:/99152/p0pf2qbtdts					Travnik	Bosna vilâyeti	113																																																																															
AKINCI		15005	آقنجی	Kasır							http://www.geonames.org/ontology#P.PPLG	Republic of Turkey		Nahiye							Merkez	Mardin																																																																																
AKINCILAR		15292	آقنجيلر	Ezbider		Ezbider-i Bâlâ					http://www.geonames.org/ontology#A.ADMD	Republic of Turkey		Nahiye	1924	Turkish Republic	1933			Suşehri	Karahisar-ı Şarkî	Sivas		Nahiye	1933	Turkish Republic	~1990				Suşehri	Sivas	Kaza	~1990	Turkish Republic						Sivas																																																													
AKINCILAR		5058	آقنجيلر	Tokaris	توقارس						http://www.geonames.org/ontology#A.ADMD			Nahiye	1877	http://n2t.net/ark:/99152/p0pf2qbx98x	1924			Kâhta	Malatya	Mamûretülaziz vilâyeti	147	Nahiye	1924	Turkish Republic	1954				Kâhta	Malatya	Nahiye	1954	Turkish Republic					Kâhta	Adıyaman																																																													
Akıncılar		5059	آقنجيلر	SELÇUK							http://www.geonames.org/ontology#A.ADMD			Nahiye			1957				Kuşadası	İzmir		Kaza	1957	Turkish Republic		Bir müddet “Akıncılar” adıyla anılan Selçuk, 1957’de yine “Selçuk” adıyla kaza oldu.)				İzmir																																																																						
AKKA		1578	عکا								http://www.geonames.org/ontology#A.ADMD			Nahiye	1517	http://n2t.net/ark:/99152/p0pf2qbznht	1520				Safed	Arap vilâyeti	103	Sancak	1520	http://n2t.net/ark:/99152/p0pf2qb689b	1660					Şam eyâleti	Sancak	1660	http://n2t.net/ark:/99152/p0pf2qbk5vq	1865					Sayda eyâleti	Sancak	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1888				Suriye vilâyeti	Sancak	1888	http://n2t.net/ark:/99152/p0pf2qbx98x					Beyrut vilâyeti																																													
AKKAR		5060	آکار								http://www.geonames.org/ontology#A.ADMD			Nahiye	1517	http://n2t.net/ark:/99152/p0pf2qbznht	1847				Trablus	Arap vilâyeti	103	Kaza	1847	http://n2t.net/ark:/99152/p0pf2qb8jmh	1865				Trablusşam	Sayda eyâleti	Kaza	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1888					Suriye vilâyeti	Kaza	1888	http://n2t.net/ark:/99152/p0pf2qbx98x					Beyrut vilâyeti																																																					
AKKAYA		10036	آق قيا	Yaka							http://www.geonames.org/ontology#P.PPLG			Kaza	1841	http://n2t.net/ark:/99152/p0pf2qb8jmh	1865				Sinop	Kastamonu eyâleti	141	Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts	1924			Merkez	Kastamonu	Kastamonu vilâyeti	Nahiye	1924	Turkish Republic					Merkez	Kastamonu																																																													
AKKİRMAN		1013	آق کيرمان	Belgorod-Dinestrouski							http://www.geonames.org/ontology#A.ADMD			Sancak			1593					Rumeli eyâleti	156	Sancak	1593	http://n2t.net/ark:/99152/p0pf2qbb9h8						Özü eyâleti	Sancak			1812					Silistre eyâleti	Sancak	1812	http://n2t.net/ark:/99152/p0pf2qbzg6v					Rusya																																																					
AKKİSİ		5061	آق کيسی								http://www.geonames.org/ontology#A.ADMD			Kaza				Şimdiki yeri belirlenemedi.			Siirt	Diyarbakır eyâleti	121																																																																															
AKKIŞLA		5062	آق قشله	Kuzugüdenli							http://www.geonames.org/ontology#A.ADMD			Nahiye	1865	http://n2t.net/ark:/99152/p0pf2qbtdts				Aziziye	Sivas	Sivas vilâyeti	166	Nahiye			1911			Bünyan	Sivas	Sivas vilâyeti	Nahiye	1911	http://n2t.net/ark:/99152/p0pf2qb3rtq	~1990				Bünyan	Kayseri	Kaza	~1990	Turkish Republic					Kayseri																																																					
AKKÖPRÜ		5063	آق کوپری								http://www.geonames.org/ontology#A.ADMD			Kaza	~1849	http://n2t.net/ark:/99152/p0pf2qb8jmh	1867				Ankara	Bozok eyâleti	114	Nahiye	1867	http://n2t.net/ark:/99152/p0pf2qbtdts				Mihalıççık	Ankara	Ankara vilâyeti	Köy						Beylikahır	Mihalıççık	Eskişehir																																																													
AKKÖPRÜ		5064	آق کوپری							Şimdiki yeri belirlenemedi.	http://www.geonames.org/ontology#A.ADMD			Nahiye						Gerede	Bolu	Kastamonu vilâyeti	141																																																																															
AKKÖY		15519	آق کوی									Republic of Turkey		Kasaba			~1990			Merkez	Merkez	Denizli		Kaza	~1990	Turkish Republic						Denizli																																																																						
Akköy		10037	آق کوی	BULANCAK							http://www.geonames.org/ontology#P.PPLG			Köy					Kebsil	Ordu	Canik	Rum eyâleti	155	Nahiye			1868			Ordu	Ordu	Trabzon eyâleti	Nahiye	1868	http://n2t.net/ark:/99152/p0pf2qbtdts	1924			Giresun	Trabzon	Trabzon vilâyeti	Nahiye	1924	Turkish Republic	1934			Merkez	Giresun	Kaza	1934	Turkish Republic					Giresun																																													
